run_id,model_id,prompt_id,judge_id,judge_temp,adherence,aesthetic,photoreal,text,anatomy,note,judge_latency_ms,judge_status,judge_error
3362684d-0000,openai/gpt-image-2,T2I-001,anthropic/claude-opus-4.7,0.0,4,5,5,N/A,5,"Strong portrait matching age, silver low bun, hazel eyes, gray backdrop, and shallow DOF. Lighting feels soft but direction is more frontal than distinctly camera-left golden hour.",10260,200,
3362684d-0000,openai/gpt-image-2,T2I-001,anthropic/claude-opus-4.7,0.3,5,5,5,N/A,5,"Strong match to prompt: silver low bun, hazel eyes with crow's feet, warm directional light, gray backdrop, shallow DOF.",9096,200,
3362684d-0000,openai/gpt-image-2,T2I-001,openai/gpt-5.5,0.0,5,5,5,N/A,5,"Strong match: elderly woman with silver low bun, hazel eyes, crow's feet, warm left-side golden lighting, shallow depth of field, and neutral gray blurred backdrop. Photorealistic and anatomically clean.",6579,200,
3362684d-0000,openai/gpt-image-2,T2I-001,openai/gpt-5.5,0.3,5,5,5,N/A,5,"Excellent match: elderly woman with silver low bun, hazel eyes, crow's feet, warm left-side golden light, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean.",7747,200,
3362684d-0001,openai/gpt-image-1.5,T2I-001,anthropic/claude-opus-4.7,0.0,5,5,5,N/A,5,"Strong match: silver hair in low bun, warm directional light from left, gray backdrop, shallow DOF, age appropriate with crows feet.",10704,200,
3362684d-0001,openai/gpt-image-1.5,T2I-001,anthropic/claude-opus-4.7,0.3,5,5,5,N/A,5,"Strong match: silver low bun, hazel eyes, crow's feet, warm golden light from left, gray backdrop, shallow DoF.",9658,200,
3362684d-0001,openai/gpt-image-1.5,T2I-001,openai/gpt-5.5,0.0,5,5,5,N/A,5,"Matches the prompt closely: elderly woman with silver low bun, hazel eyes, visible crow's feet, warm camera-left golden light, shallow depth of field, and neutral gray backdrop.",7527,200,
3362684d-0001,openai/gpt-image-1.5,T2I-001,openai/gpt-5.5,0.3,5,5,5,N/A,5,"Strong match: elderly woman in her 70s with silver hair in a low bun, hazel eyes, visible crow's feet, warm golden light from camera left, shallow depth of field, and neutral gray backdrop. Photorealistic and polished.",7435,200,
3362684d-0002,google/imagen-4-ultra,T2I-001,anthropic/claude-opus-4.7,0.0,5,5,5,N/A,5,"Strong match on age, silver bun, hazel eyes, golden hour from left, gray backdrop.",13624,200,
3362684d-0002,google/imagen-4-ultra,T2I-001,anthropic/claude-opus-4.7,0.3,5,5,5,N/A,5,"Strong match across all flagged attributes; warm directional light from left, silver low bun, hazel eyes, age-appropriate skin detail, gray backdrop with shallow DOF.",9328,200,
3362684d-0002,google/imagen-4-ultra,T2I-001,openai/gpt-5.5,0.0,5,5,5,N/A,5,"Excellent match: elderly woman with silver low bun, hazel eyes, crow's feet, warm left-side golden-hour lighting, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean.",7378,200,
3362684d-0002,google/imagen-4-ultra,T2I-001,openai/gpt-5.5,0.3,5,5,5,N/A,5,"Strong match: elderly woman with silver low bun, hazel eyes and crow's feet, warm golden-hour light from camera left, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean.",6563,200,
3362684d-0003,google/imagen-4-fast,T2I-001,anthropic/claude-opus-4.7,0.0,4,5,5,N/A,5,"Strong portrait matching most attributes; subject reads closer to 60 than 70 but silver bun, hazel eyes, warm side light, gray backdrop, and shallow DOF are present.",6036,200,
3362684d-0003,google/imagen-4-fast,T2I-001,anthropic/claude-opus-4.7,0.3,4,5,5,N/A,5,"Silver low bun, hazel eyes, crows feet, shallow DOF, gray backdrop all present. Warm light reads more as soft warm rim than clearly golden-hour directional from left. Subject appears closer to 60 than 70.",6143,200,
3362684d-0003,google/imagen-4-fast,T2I-001,openai/gpt-5.5,0.0,5,5,5,N/A,5,"Strong match: silver low bun, hazel eyes with crow's feet, warm camera-left lighting, shallow depth of field, and neutral gray backdrop are all well represented.",7635,200,
3362684d-0003,google/imagen-4-fast,T2I-001,openai/gpt-5.5,0.3,5,5,5,N/A,5,"Matches the requested portrait closely: elderly woman with silver low bun, hazel eyes and crows feet, warm camera-left lighting, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean.",10452,200,
3362684d-0004,openai/gpt-image-1-mini,T2I-001,anthropic/claude-opus-4.7,0.0,4,4,5,N/A,5,"Strong photoreal portrait; silver hair, hazel eyes, age, gray backdrop and shallow DoF all match. Golden hour light from camera left is subtle—lighting feels softer/more neutral than warm golden.",9317,200,
3362684d-0004,openai/gpt-image-1-mini,T2I-001,anthropic/claude-opus-4.7,0.3,4,4,5,N/A,5,Strong photoreal portrait with believable age and skin detail; hazel eyes and gray backdrop present. Golden hour warmth is subtle and light direction reads more frontal/right than camera-left. Bun is loose rather than a clean low bun.,10490,200,
3362684d-0004,openai/gpt-image-1-mini,T2I-001,openai/gpt-5.5,0.0,4,5,5,N/A,5,"Strong photorealistic elderly portrait with silver hair in a low bun, hazel/brown eyes, visible crow's feet, shallow depth of field, and neutral gray backdrop. Warm golden lighting is present, though it appears more from camera right than camera left.",11539,200,
3362684d-0004,openai/gpt-image-1-mini,T2I-001,openai/gpt-5.5,0.3,5,5,5,N/A,5,"Strong match: elderly woman in her 70s with silver hair in a low bun, hazel-looking eyes, visible crow's feet, warm camera-left lighting, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean.",7319,200,
3362684d-0005,openai/gpt-image-2,T2I-011,anthropic/claude-opus-4.7,0.0,5,5,5,5,N/A,Text legible and exact; strong neon reflections on wet sidewalk; brick wall and 50s diner vibe nailed.,10061,200,
3362684d-0005,openai/gpt-image-2,T2I-011,anthropic/claude-opus-4.7,0.3,5,5,5,5,N/A,"Text is correct, neon glow convincing, brick wall and wet reflections all present; great atmosphere.",9512,200,
3362684d-0005,openai/gpt-image-2,T2I-011,openai/gpt-5.5,0.0,5,5,5,5,N/A,"The image closely matches the prompt: a red neon OPEN 24 HOURS sign on a brick diner exterior at night, with wet sidewalk reflections and a convincing 1950s diner atmosphere.",9665,200,
3362684d-0005,openai/gpt-image-2,T2I-011,openai/gpt-5.5,0.3,5,5,5,5,N/A,"Accurately shows a vintage 1950s diner exterior at night with a brick wall, bright red neon sign reading exactly OPEN 24 HOURS, rain-wet sidewalk, and strong neon reflections.",6989,200,
3362684d-0006,openai/gpt-image-1.5,T2I-011,anthropic/claude-opus-4.7,0.0,5,5,5,5,N/A,"Text correct, neon glow and wet reflections convincingly rendered.",7301,200,
3362684d-0006,openai/gpt-image-1.5,T2I-011,anthropic/claude-opus-4.7,0.3,5,5,5,5,N/A,"Text accurate, neon glow and wet reflections convincing.",5291,200,
3362684d-0006,openai/gpt-image-1.5,T2I-011,openai/gpt-5.5,0.0,5,5,4,5,N/A,"Prompt is closely matched: exact OPEN 24 HOURS red neon text, brick diner exterior, night rain, and wet sidewalk reflections are all present. Image is polished and atmospheric, with convincing realism.",9257,200,
3362684d-0006,openai/gpt-image-1.5,T2I-011,openai/gpt-5.5,0.3,5,5,4,5,N/A,"Text reads exactly OPEN 24 HOURS in bright red neon on a brick 1950s diner exterior, with rain and strong wet sidewalk reflections.",7393,200,
3362684d-0007,google/imagen-4-ultra,T2I-011,anthropic/claude-opus-4.7,0.0,5,5,5,5,N/A,"Text reads correctly, neon red, wet reflective sidewalk, brick exterior all present and convincingly rendered.",8654,200,
3362684d-0007,google/imagen-4-ultra,T2I-011,anthropic/claude-opus-4.7,0.3,5,5,5,5,N/A,"Text correct, strong neon and reflections.",8336,200,
3362684d-0007,google/imagen-4-ultra,T2I-011,openai/gpt-5.5,0.0,5,5,4,5,N/A,"Accurately shows a vintage 1950s-style diner exterior with brick, bright red neon sign reading exactly OPEN 24 HOURS, night rain, and strong wet sidewalk reflections.",7178,200,
3362684d-0007,google/imagen-4-ultra,T2I-011,openai/gpt-5.5,0.3,5,5,4,5,N/A,"The sign clearly reads OPEN 24 HOURS in bright red neon, mounted on a brick 1950s diner exterior at night, with rain and strong wet sidewalk reflections. Overall polished and atmospheric; slightly stylized but convincing.",8176,200,
