run_id,model_id,prompt_id,judge_id,judge_temp,adherence,aesthetic,photoreal,text,anatomy,note,judge_latency_ms,judge_status,judge_error
6c1b8d05-0001,openai/gpt-image-2,T2I-111,anthropic/claude-opus-4.7,0.0,3,4,4,3,4,"Isometric view captured well with most key elements present. Café shows two tables with seated patrons but missing third empty table with fallen chair; woman not clearly in yellow reading. Bookstore has cat and ladder. DDS plaque readable. Library banners present and legible. Taxi, red bike with courier/pizza box, and black dog on leash all included. Statue with pigeons present but only 2 visible, no coffee cup. Pedestrian count and distinct coats unclear. Shadows are soft and not clearly direct",10519,200,
6c1b8d05-0001,openai/gpt-image-2,T2I-111,anthropic/claude-opus-4.7,0.3,3,4,4,3,4,"Captures most elements: café, bookstore with cat/ladder, DDS plaque, library with banners, taxi, courier with pizza, dog walker, statue with pigeons. Missing fallen chair at third table, only 2 café tables visible, pedestrian count off, shadows inconsistent with noon upper-right direction. Statue plinth text garbled.",8642,200,
6c1b8d05-0001,openai/gpt-image-2,T2I-111,openai/gpt-5.5,0.0,,,,,,,15023,200,json_parse_failed: ''
6c1b8d05-0001,openai/gpt-image-2,T2I-111,openai/gpt-5.5,0.3,,,,,,,12423,200,json_parse_failed: ''
6c1b8d05-0002,openai/gpt-image-2,T2I-118,anthropic/claude-opus-4.7,0.0,4,4,N/A,3,4,"Strong adherence to most named participants with labels, though fruit seller lacks visible balance scale and striped awning is present but small. Unrequested Hindi labels appear in image, somewhat garbled but legible. Style is competent miniature-inspired but loses some fine Mughal linework precision.",10202,200,
6c1b8d05-0002,openai/gpt-image-2,T2I-118,anthropic/claude-opus-4.7,0.3,4,4,N/A,3,4,"Strong adherence with most named participants present and labeled, though fruit seller lacks visible balance scale and awning stripes are subdued. Unrequested Hindi labels appear throughout, which weren't asked for but are legible. Miniature style is convincing with jewel tones, though some figures feel slightly stiff.",7941,200,
6c1b8d05-0002,openai/gpt-image-2,T2I-118,openai/gpt-5.5,0.0,,,,,,,13752,200,json_parse_failed: ''
6c1b8d05-0002,openai/gpt-image-2,T2I-118,openai/gpt-5.5,0.3,,,,,,,14073,400,"http_400: {""error"":{""code"":""unprocessable_entity"",""message"":""Could not finish the message because max_tokens or model output limit was reached. Please try again with higher max_tokens."",""upstream_error"":{""message"":""Could not finish the message because max_tokens or model output limit was reached. Please try a"
6c1b8d05-0003,openai/gpt-image-2,T2I-119,anthropic/claude-opus-4.7,0.0,3,4,4,4,2,"Most labels present and title rendered correctly. However, left lung shows 3 lobes instead of 2 and lacks clear cardiac notch; right lung lobes not clearly distinguished into 3. Alveoli inset shows only one capillary-like structure rather than two clearly crossing one alveolus. Overall textbook style achieved but key anatomical requirements (lobe counts, cardiac notch) failed.",8303,200,
6c1b8d05-0003,openai/gpt-image-2,T2I-119,anthropic/claude-opus-4.7,0.3,3,4,4,4,2,"Title and most labels render correctly. Missing 'Left lung (2 lobes)' label. Right lung shows only 2 visible lobe divisions rather than 3 distinct lobes; left lung lacks clear cardiac notch and lobe division. Alveoli inset present but shows only one capillary clearly, not two crossing. Overall textbook style achieved.",8902,200,
6c1b8d05-0003,openai/gpt-image-2,T2I-119,openai/gpt-5.5,0.0,,,,,,,13051,200,json_parse_failed: ''
6c1b8d05-0003,openai/gpt-image-2,T2I-119,openai/gpt-5.5,0.3,,,,,,,10892,200,json_parse_failed: ''
