run_id,model_id,prompt_id,judge_id,judge_temp,adherence,aesthetic,photoreal,text,anatomy,note,judge_latency_ms,judge_status,judge_error
14ac453c-0001,google/imagen-3,T2I-001,anthropic/claude-opus-4.7,0.0,3,4,5,N/A,5,"Realistic elderly woman with silver hair and hazel eyes on gray backdrop, but bun not visible and lighting appears flat/even rather than directional golden hour from left.",6645,200,
14ac453c-0001,google/imagen-3,T2I-001,anthropic/claude-opus-4.7,0.3,3,4,5,N/A,5,"Hair appears loose rather than in a low bun; lighting is flat/even rather than directional golden hour from camera left. Hazel eyes, age, and gray backdrop are well rendered.",6225,200,
14ac453c-0001,google/imagen-3,T2I-001,openai/gpt-5.5,0.0,4,5,5,N/A,5,"Strong photorealistic elderly portrait with silver hair, hazel eyes, visible crow's feet, shallow depth of field, and neutral gray background. Warm left-side lighting is present though not strongly golden-hour, and the low bun is implied but not clearly visible.",8137,200,
14ac453c-0001,google/imagen-3,T2I-001,openai/gpt-5.5,0.3,4,5,5,N/A,5,"Photorealistic and polished portrait with silver tied-back hair, hazel eyes, visible age lines/crow's feet, shallow depth of field, and neutral gray backdrop. Lighting appears from camera left but is more studio-soft than distinctly golden hour, and the low bun is implied rather than clearly visible; age reads slightly younger than 70s.",10973,200,
14ac453c-0002,openai/gpt-image-1,T2I-001,anthropic/claude-opus-4.7,0.0,4,5,5,N/A,5,"Strong photoreal portrait with accurate age, silver hair in low bun, warm side light and gray backdrop; eyes read more brown than clearly hazel.",9143,200,
14ac453c-0002,openai/gpt-image-1,T2I-001,anthropic/claude-opus-4.7,0.3,4,5,5,N/A,5,"Strong portrait matching age, silver bun, hazel eyes, warm directional light from left, gray backdrop; DOF appears moderate rather than very shallow.",5516,200,
14ac453c-0002,openai/gpt-image-1,T2I-001,openai/gpt-5.5,0.0,4,4,5,N/A,5,"Strong photorealistic elderly portrait with silver hair in a low bun, visible crow's feet, shallow depth of field, and neutral gray backdrop. Eye color reads more brown than clearly hazel, and the warm light appears to come more from camera right than camera left.",8096,200,
14ac453c-0002,openai/gpt-image-1,T2I-001,openai/gpt-5.5,0.3,5,5,5,N/A,5,"Strong match: elderly woman with silver low bun, hazel eyes, crow's feet, warm golden lighting, shallow depth of field, and neutral gray backdrop. Light direction appears close to the requested camera-left setup.",7542,200,
14ac453c-0003,google/imagen-3,T2I-011,anthropic/claude-opus-4.7,0.0,4,4,4,5,N/A,"Text reads correctly; strong neon mood and wet reflections, though 1950s diner character is subtle.",6238,200,
14ac453c-0003,google/imagen-3,T2I-011,anthropic/claude-opus-4.7,0.3,4,5,5,5,N/A,"Text reads correctly; strong red neon mood, brick visible, wet sidewalk reflects light but reflections are subtle.",6607,200,
